method,type,consequence,n_total,n_pathogenic,n_valid,auroc,auprc
CADD v1.6,scalar,Missense,101666,32509,101658,0.9545589737777526,0.8813856157836749
CADD v1.6,scalar,Synonymous,12585,289,12584,0.936777405505656,0.7192141912220705
CADD v1.6,scalar,Nonsense,6367,5822,6367,0.7521958783355762,0.9542007741539157
CADD v1.6,scalar,Splice Donor,1853,1713,1853,0.8530668834959553,0.9774703860076476
CADD v1.6,scalar,Splice Acceptor,1650,1497,1650,0.8763147209451583,0.9773908712078896
CADD v1.6,scalar,Intronic,27644,1369,27644,0.9135167244802855,0.7284013281429735
CADD v1.6,scalar,Initiator Codon,715,559,715,0.8504139718361543,0.928362306709837
CADD v1.6,scalar,5' UTR,1480,75,1480,0.8545480427046264,0.6293457273357406
CADD v1.6,scalar,3' UTR,876,25,876,0.873325499412456,0.3088163640307096
CADD v1.6,scalar,Non-coding Transcript,3593,97,3593,0.8903842978131118,0.5063663462997332
CADD v1.6,scalar,Missense (canonical),95791,31833,95785,0.9522788360453528,0.881145428810332
CADD v1.6,scalar,Missense (non-canonical),5875,676,5873,0.9810952859571831,0.8794788175629895
CADD v1.6,scalar,Other,187,102,187,0.7944636678200693,0.8027793319752639
Covpool probe,bidir_cov,Overall,32437,8630,32437,0.9765323703686866,0.9425425828978322
Covpool probe,bidir_cov,Missense,20679,6222,20679,0.9674940162723773,0.9335744527911988
Covpool probe,bidir_cov,Synonymous,2557,50,2557,0.9282967690466695,0.7416584579638406
Covpool probe,bidir_cov,Nonsense,1320,1195,1320,0.8229958158995816,0.9706245065035584
Covpool probe,bidir_cov,Splice Donor,391,357,391,0.8705717581150108,0.9806085658770615
Covpool probe,bidir_cov,Splice Acceptor,377,344,377,0.9069326990838619,0.9865189478372292
Covpool probe,bidir_cov,Intronic,5771,308,5771,0.9652389985997895,0.8520418868983028
Covpool probe,bidir_cov,Initiator Codon,152,113,152,0.8899478103017926,0.9395972968221119
Covpool probe,bidir_cov,5' UTR,304,8,304,0.876266891891892,0.41499576013350686
Covpool probe,bidir_cov,3' UTR,172,3,172,0.970414201183432,0.5054945054945055
Covpool probe,bidir_cov,Non-coding Transcript,679,14,679,0.9628356605800215,0.6865216823406268
Covpool probe,bidir_cov,Other,35,16,35,0.9276315789473684,0.9309539418914419
